date, value
2011/1/7,1358
2011/1/10,1368.25
2011/1/11,1381
2011/1/12,1383.5
2011/1/13,1380.75
2011/1/14,1369.25
2011/1/17,1357.5
2011/1/18,1368.75
2011/1/19,1373.75
2011/1/20,1364.5
2011/1/21,1344
2011/1/24,1347.5
2011/1/25,1326
2011/1/26,1335.5
2011/1/27,1337.5
2011/1/28,1316
2011/1/31,1333.5
2011/2/1,1337.5
2011/2/2,1337
2011/2/3,1332.5
2011/2/4,1347.5
2011/2/7,1347
2011/2/8,1354
2011/2/9,1362.5
2011/2/10,1358.75
2011/2/11,1359
2011/2/14,1356.75
2011/2/15,1372.25
2011/2/16,1374.5
2011/2/17,1377
2011/2/18,1385.5
2011/2/21,1399.5
2011/2/22,1394.5
2011/2/23,1401.25
2011/2/24,1414.5
2011/2/25,1405
2011/2/28,1409.75
2011/3/1,1414.5
2011/3/2,1430.5
2011/3/3,1430.5
2011/3/4,1418
2011/3/7,1437
2011/3/8,1435
2011/3/9,1431.5
2011/3/10,1424.25
2011/3/11,1409.75
2011/3/14,1424.5
2011/3/15,1407
2011/3/16,1398.5
2011/3/17,1403.5
2011/3/18,1415.5
2011/3/21,1427.75
2011/3/22,1425.5
2011/3/23,1433
2011/3/24,1441.25
2011/3/25,1434
2011/3/28,1420
2011/3/29,1414
2011/3/30,1419
2011/3/31,1431
2011/4/1,1434.5
2011/4/4,1432.5
2011/4/5,1434.5
2011/4/6,1457
2011/4/7,1456.5
2011/4/8,1470.5
2011/4/11,1469.5
2011/4/12,1461.25
2011/4/13,1458
2011/4/14,1457.5
2011/4/15,1472.5
2011/4/18,1484.5
2011/4/19,1495
2011/4/20,1505
2011/4/21,1507
2011/4/26,1505
2011/4/27,1508
2011/4/28,1531
2011/5/3,1546.5
2011/5/4,1536
2011/5/5,1514.5
2011/5/6,1487.75
2011/5/9,1505
2011/5/10,1517.25
2011/5/11,1524.5
2011/5/12,1488.25
2011/5/13,1511
2011/5/16,1495
2011/5/17,1495.5
2011/5/18,1491.25
2011/5/19,1488.75
2011/5/20,1502.75
2011/5/23,1508.5
2011/5/24,1520.75
2011/5/25,1527
2011/5/26,1521.5
2011/5/27,1525
2011/5/31,1537
2011/6/1,1532.25
2011/6/2,1540.75
2011/6/3,1531
2011/6/6,1542.75
2011/6/7,1548.4
2011/6/8,1535.5
2011/6/9,1534
2011/6/10,1541
2011/6/13,1524.7
2011/6/14,1519
2011/6/15,1517.75
2011/6/16,1525
2011/6/17,1526.25
2011/6/20,1537
2011/6/21,1543
2011/6/22,1546
2011/6/23,1541.5
2011/6/24,1521
2011/6/27,1501
2011/6/28,1502.5
2011/6/29,1506
2011/6/30,1508
2011/7/1,1492.75
2011/7/4,1495.25
2011/7/5,1498.75
2011/7/6,1515.8
2011/7/7,1526.25
2011/7/8,1526
2011/7/11,1543.5
2011/7/12,1544.5
2011/7/13,1571.5
2011/7/14,1592.5
2011/7/15,1578.5
2011/7/18,1598.25
2011/7/19,1602
2011/7/20,1584.25
2011/7/21,1600.5
2011/7/22,1588
2011/7/25,1618.5
2011/7/26,1610
2011/7/27,1621
2011/7/28,1617.5
2011/7/29,1613.75
2011/8/1,1613.5
2011/8/2,1624
2011/8/3,1667.5
2011/8/4,1664.25
2011/8/5,1665
2011/8/8,1709.75
2011/8/9,1770
2011/8/10,1753.75
2011/8/11,1786
2011/8/12,1755
2011/8/15,1738
2011/8/16,1779
2011/8/17,1792
2011/8/18,1794.5
2011/8/19,1862
2011/8/22,1877.75
2011/8/23,1886.5
2011/8/24,1850
2011/8/25,1716.5
2011/8/26,1787
2011/8/30,1791
2011/8/31,1826
2011/9/1,1815.5
2011/9/2,1854
2011/9/5,1896.5
2011/9/6,1891
2011/9/7,1844
2011/9/8,1827
2011/9/9,1879.5
2011/9/12,1843
2011/9/13,1806
2011/9/14,1829
2011/9/15,1806
2011/9/16,1778
2011/9/19,1817
2011/9/20,1792
2011/9/21,1810.25
2011/9/22,1765.5
2011/9/23,1730
2011/9/26,1615
2011/9/27,1671
2011/9/28,1655
2011/9/29,1620
2011/9/30,1629
2011/10/3,1660
2011/10/4,1672
2011/10/5,1600
2011/10/6,1649.5
2011/10/7,1651
2011/10/10,1664
2011/10/11,1662
2011/10/12,1687
2011/10/13,1673
2011/10/14,1676
2011/10/17,1689
2011/10/18,1658
2011/10/19,1651
2011/10/20,1629
2011/10/21,1623
2011/10/24,1651
2011/10/25,1656.25
2011/10/26,1713
2011/10/27,1708
2011/10/28,1735
2011/10/31,1718
2011/11/1,1702
2011/11/2,1731
2011/11/3,1732.5
2011/11/4,1756
2011/11/7,1764
2011/11/8,1794
2011/11/9,1780
2011/11/10,1766
2011/11/11,1764
2011/11/14,1780.5
2011/11/15,1765
2011/11/16,1773
2011/11/17,1756
2011/11/18,1730
2011/11/21,1704
2011/11/22,1697.5
2011/11/23,1686
2011/11/24,1699
2011/11/25,1676
2011/11/28,1714
2011/11/29,1717
2011/11/30,1704
2011/12/1,1750
2011/12/2,1751
2011/12/5,1744
2011/12/6,1720
2011/12/7,1731
2011/12/8,1739
2011/12/9,1712
2011/12/12,1680
2011/12/13,1665
2011/12/14,1635
2011/12/15,1590
2011/12/16,1589.5
2011/12/19,1593
2011/12/20,1605
2011/12/21,1637.5
2011/12/22,1609
2011/12/23,1607.5
2011/12/28,1584
2011/12/29,1537.5
2011/12/30,1574.5
2012/1/3,1590
2012/1/4,1603
2012/1/5,1614.5
2012/1/6,1621
2012/1/9,1618
2012/1/10,1627
2012/1/11,1641
2012/1/12,1652.5
2012/1/13,1642
2012/1/16,1643.5
2012/1/17,1662
2012/1/18,1657
2012/1/19,1664
2012/1/20,1646
2012/1/23,1675
2012/1/24,1669
2012/1/25,1659
2012/1/26,1713
2012/1/27,1722
2012/1/30,1720.5
2012/1/31,1738
2012/2/1,1744
2012/2/2,1747.5
